absolute_time_s,absolute_time_h,cycle2_elapsed_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cycle2_cumulative_injection_m3
957868.000000000,266.074444444,26.074444444,3.301524378912e-03,11.885487764,351.182750057
961468.000000000,267.074444444,27.074444444,3.286230538779e-03,11.830429940,363.040708909
965068.000000000,268.074444444,28.074444444,3.270631181778e-03,11.774272254,374.843060006
968668.000000000,269.074444444,29.074444444,3.255212180002e-03,11.718763848,386.589578057
972268.000000000,270.074444444,30.074444444,3.239989536138e-03,11.663962330,398.280941146
975868.000000000,271.074444444,31.074444444,3.225162763061e-03,11.610585947,409.918215285
979468.000000000,272.074444444,32.074444444,3.210774215840e-03,11.558787177,421.502901847
983068.000000000,273.074444444,33.074444444,3.196384293433e-03,11.506983456,433.035787164
986668.000000000,274.074444444,34.074444444,3.182030976879e-03,11.455311517,444.516934650
990268.000000000,275.074444444,35.074444444,3.167946932865e-03,11.404608958,455.946894888
993868.000000000,276.074444444,36.074444444,3.153556845532e-03,11.352804644,467.325601689
997468.000000000,277.074444444,37.074444444,3.139647507943e-03,11.302731029,478.653369525
1001070.000000000,278.075000000,38.075000000,3.126319043091e-03,11.254748555,489.938375283
1004670.000000000,279.075000000,39.075000000,3.113317460167e-03,11.207942857,501.169720989
1008220.000000000,280.061111111,40.061111111,3.100502048241e-03,11.161807374,512.199250617
1011760.000000000,281.044444444,41.044444444,3.086703589259e-03,11.112132921,523.150604595
1015360.000000000,282.044444444,42.044444444,3.071900184882e-03,11.058840666,534.236091389
1018960.000000000,283.044444444,43.044444444,3.057955597036e-03,11.008640149,545.269831796
1022560.000000000,284.044444444,44.044444444,3.044185652712e-03,10.959068350,556.253686046
1026160.000000000,285.044444444,45.044444444,3.030756331929e-03,10.910722795,567.188581618
1029760.000000000,286.044444444,46.044444444,3.017594062982e-03,10.863338627,578.075612329
1033360.000000000,287.044444444,47.044444444,3.004484756205e-03,10.816145122,588.915354203
1036960.000000000,288.044444444,48.044444444,2.991538672078e-03,10.769539219,599.708196374
1040560.000000000,289.044444444,49.044444444,2.978759587402e-03,10.723534515,610.454733241
1044160.000000000,290.044444444,50.044444444,2.966343839723e-03,10.678837823,621.155919410
1047760.000000000,291.044444444,51.044444444,2.954115967173e-03,10.634817482,631.812747063
1051360.000000000,292.044444444,52.044444444,2.942133459557e-03,10.591680454,642.425996031
1054960.000000000,293.044444444,53.044444444,2.930638084752e-03,10.550297105,652.996984810
1058560.000000000,294.044444444,54.044444444,2.919550991075e-03,10.510383568,663.527325147
1062160.000000000,295.044444444,55.044444444,2.908774107495e-03,10.471586787,674.018310324
1065760.000000000,296.044444444,56.044444444,2.898115497400e-03,10.433215791,684.470711613
1069360.000000000,297.044444444,57.044444444,2.887426444807e-03,10.394735201,694.884687109
1072960.000000000,298.044444444,58.044444444,2.876788245183e-03,10.356437683,705.260273551
1076560.000000000,299.044444444,59.044444444,2.866148477181e-03,10.318134518,715.597559651
1080160.000000000,300.044444444,60.044444444,2.855420092180e-03,10.279512332,725.896383076
1083760.000000000,301.044444444,61.044444444,2.844797724338e-03,10.241271808,736.156775146
1087360.000000000,302.044444444,62.044444444,2.834246798078e-03,10.203288473,746.379055286
1090960.000000000,303.044444444,63.044444444,2.823858368013e-03,10.165890125,756.563644585
1094560.000000000,304.044444444,64.044444444,2.813381134939e-03,10.128172086,766.710675691
1098160.000000000,305.044444444,65.044444444,2.802647247780e-03,10.089530092,776.819526779
1101760.000000000,306.044444444,66.044444444,2.791728355945e-03,10.050222081,786.889402866
1105360.000000000,307.044444444,67.044444444,2.780765307068e-03,10.010755105,796.919891460
1108910.000000000,308.030555556,68.030555556,2.769769759009e-03,9.971171132,806.772091202
1112510.000000000,309.030555556,69.030555556,2.758547608683e-03,9.930771391,816.723062464
1116110.000000000,310.030555556,70.030555556,2.747283347991e-03,9.890220053,826.633558186
1119710.000000000,311.030555556,71.030555556,2.736103578167e-03,9.849972881,836.503654653
1123310.000000000,312.030555556,72.030555556,2.725109070835e-03,9.810392655,846.333837421
1126910.000000000,313.030555556,73.030555556,2.714363204859e-03,9.771707537,856.124887517
1130510.000000000,314.030555556,74.030555556,2.703914666008e-03,9.734092798,865.877787685
1134110.000000000,315.030555556,75.030555556,2.693501440934e-03,9.696605187,875.593136677
1137710.000000000,316.030555556,76.030555556,2.683256616243e-03,9.659723818,885.271301180
1141310.000000000,317.030555556,77.030555556,2.672946205207e-03,9.622606339,894.912466259
1144910.000000000,318.030555556,78.030555556,2.662789528162e-03,9.586042301,904.516790579
