time_s,time_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cumulative_gross_injection_m3
262883.000000000,73.023055556,6.500316863317e-03,23.401140708,1963.259801909
266483.000000000,74.023055556,6.486059806173e-03,23.349815302,1986.635279914
270083.000000000,75.023055556,6.472528864835e-03,23.301103913,2009.960739522
273683.000000000,76.023055556,6.454463302272e-03,23.236067888,2033.229325423
277283.000000000,77.023055556,6.420452433752e-03,23.113628762,2056.404173748
280883.000000000,78.023055556,6.390627719647e-03,23.006259791,2079.464118024
284483.000000000,79.023055556,6.353808743719e-03,22.873711477,2102.404103658
288083.000000000,80.023055556,6.326254408855e-03,22.774515872,2125.228217332
291683.000000000,81.023055556,6.291819390881e-03,22.650549807,2147.940750172
295283.000000000,82.023055556,6.263714361262e-03,22.549371701,2170.540710926
298883.000000000,83.023055556,6.235752182563e-03,22.448707857,2193.039750705
302483.000000000,84.023055556,6.196852713134e-03,22.308669767,2215.418439517
306083.000000000,85.023055556,6.169660453044e-03,22.210777631,2237.678163216
309683.000000000,86.023055556,6.130688217117e-03,22.070477582,2259.818790822
313283.000000000,87.023055556,6.095857261740e-03,21.945086142,2281.826572684
316883.000000000,88.023055556,6.059700929703e-03,21.814923347,2303.706577429
320483.000000000,89.023055556,6.027249323296e-03,21.698097564,2325.463087884
324083.000000000,90.023055556,6.001598352805e-03,21.605754070,2347.115013701
327683.000000000,91.023055556,5.951860030180e-03,21.426696109,2368.631238791
331283.000000000,92.023055556,5.917384583481e-03,21.302584501,2389.995879095
334883.000000000,93.023055556,5.885272010335e-03,21.186979237,2411.240660964
338483.000000000,94.023055556,5.856748775746e-03,21.084295593,2432.376298379
342083.000000000,95.023055556,5.822619037080e-03,20.961428533,2453.399160442
345600.000000000,96.000000000,5.791371578025e-03,20.848937681,2473.822362939
349200.000000000,97.000000000,5.746099081542e-03,20.685956694,2494.589810126
352800.000000000,98.000000000,5.721443118738e-03,20.597195227,2515.231386087
356400.000000000,99.000000000,5.692977295178e-03,20.494718263,2535.777342832
360000.000000000,100.000000000,5.655785308933e-03,20.360827112,2556.205115519
363600.000000000,101.000000000,5.615433230360e-03,20.215559629,2576.493308890
367200.000000000,102.000000000,5.575498185083e-03,20.071793466,2596.636985438
370800.000000000,103.000000000,5.542283576724e-03,19.952220876,2616.648992609
374400.000000000,104.000000000,5.501941431883e-03,19.806989155,2636.528597624
378000.000000000,105.000000000,5.472476540731e-03,19.700915547,2656.282549975
381600.000000000,106.000000000,5.439864789532e-03,19.583513242,2675.924764369
385200.000000000,107.000000000,5.410048092020e-03,19.476173131,2695.454607556
388800.000000000,108.000000000,5.378104299456e-03,19.361175478,2714.873281861
392400.000000000,109.000000000,5.341779970737e-03,19.230407895,2734.169073547
396000.000000000,110.000000000,5.309364236037e-03,19.113711250,2753.341133119
399600.000000000,111.000000000,5.276232080029e-03,18.994435488,2772.395206488
403200.000000000,112.000000000,5.242952839536e-03,18.874630222,2791.329739344
406800.000000000,113.000000000,5.203824705509e-03,18.733768940,2810.133938925
410400.000000000,114.000000000,5.160808767750e-03,18.578911564,2828.790279177
414000.000000000,115.000000000,5.128283178045e-03,18.461819441,2847.310644679
417600.000000000,116.000000000,5.101298718284e-03,18.364675386,2865.723892092
421200.000000000,117.000000000,5.074844127181e-03,18.269438858,2884.040949214
424800.000000000,118.000000000,5.047141194285e-03,18.169708299,2902.260522793
428400.000000000,119.000000000,5.016627755518e-03,18.059859920,2920.375306902
432000.000000000,120.000000000,4.978983100108e-03,17.924339160,2938.367406443
435600.000000000,121.000000000,4.932955364402e-03,17.758639312,2956.208895679
439200.000000000,122.000000000,4.893745648479e-03,17.617484335,2973.896957502
442800.000000000,123.000000000,4.859218225934e-03,17.493185613,2991.452292476
446400.000000000,124.000000000,4.829574279357e-03,17.386467406,3008.892118985
450000.000000000,125.000000000,4.801265860902e-03,17.284557099,3026.227631238
453600.000000000,126.000000000,4.768840510753e-03,17.167825839,3043.453822707
457200.000000000,127.000000000,4.736451650435e-03,17.051225942,3060.563348597
460800.000000000,128.000000000,4.703703182463e-03,16.933331457,3077.555627296
464400.000000000,129.000000000,4.650775847468e-03,16.742793051,3094.393689550
468000.000000000,130.000000000,4.603470780548e-03,16.572494810,3111.051333480
471600.000000000,131.000000000,4.568904528281e-03,16.448056302,3127.561609036
475200.000000000,132.000000000,4.538094721934e-03,16.337140999,3143.954207687
478800.000000000,133.000000000,4.510177191244e-03,16.236637888,3160.241097130
482400.000000000,134.000000000,4.482161521048e-03,16.135781476,3176.427306813
486000.000000000,135.000000000,4.453791020867e-03,16.033647675,3192.512021388
489600.000000000,136.000000000,4.424930177064e-03,15.929748637,3208.493719544
493200.000000000,137.000000000,4.393981435655e-03,15.818333168,3224.367760447
496800.000000000,138.000000000,4.355554941738e-03,15.679997790,3240.116925926
500400.000000000,139.000000000,4.319373486848e-03,15.549744553,3255.731797098
504000.000000000,140.000000000,4.284642826281e-03,15.424714175,3271.219026462
507600.000000000,141.000000000,4.255863607551e-03,15.321108987,3286.591938042
511200.000000000,142.000000000,4.228930405990e-03,15.224149462,3301.864567267
514800.000000000,143.000000000,4.202812772878e-03,15.130125982,3317.041704989
518400.000000000,144.000000000,4.175238016078e-03,15.030856858,3332.122196409
