absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
1025.349999999941,37.760581866,2416.952323284
1025.399999999940,37.760257957,2418.840344279
1025.413888888900,37.760167983,2419.364791684
1025.449999999940,37.759934844,2420.728349094
1025.497222222200,37.759629971,2422.511449931
1025.499999999940,37.759611843,2422.616337765
1025.549999999940,37.759285554,2424.504310200
1025.580555555600,37.759086155,2425.658063105
1025.599999999940,37.758954828,2426.392266278
1025.649999999940,37.758617131,2428.280205577
1025.663888888900,37.758523326,2428.804630166
1025.699999999940,37.758273672,2430.168127887
1025.747222222200,37.757947202,2431.951149770
1025.749999999940,37.757927341,2432.056032928
1025.799999999940,37.757569843,2433.943920357
1025.830555555600,37.757351372,2435.097620546
1025.849999999940,37.757211668,2435.831789905
1025.899999999940,37.756852428,2437.719641508
1025.913888888900,37.756752639,2438.244041546
1025.949999999940,37.756490026,2439.607475091
1025.997222222200,37.756146609,2441.390412346
1025.999999999940,37.756126699,2441.495290502
1026.049999999940,37.755768307,2443.383087877
1026.080555555600,37.755549290,2444.536733011
1026.099999999940,37.755389038,2445.270867130
1026.149999999940,37.754976960,2447.158626280
1026.163888888900,37.754862494,2447.683000168
1026.199999999940,37.754568620,2449.046364893
1026.247222222200,37.754184324,2450.829210450
1026.249999999940,37.754163786,2450.934083155
1026.299999999940,37.753794096,2452.821782102
1026.330555555600,37.753568175,2453.975366807
1026.349999999940,37.753433109,2454.709462649
1026.399999999940,37.753085794,2456.597125622
1026.413888888900,37.752989318,2457.121473368
1026.449999999940,37.752745776,2458.484771360
1026.497222222200,37.752427299,2460.267532393
1026.499999999940,37.752408632,2460.372400219
1026.549999999940,37.752072640,2462.260012251
1026.580555555600,37.751867311,2463.413544670
1026.599999999939,37.751733051,2464.147607448
1026.649999999939,37.751387812,2466.035185469
1026.663888888900,37.751291913,2466.559509637
1026.699999999939,37.751046637,2467.922746302
1026.747222222200,37.750725893,2469.705427044
1026.749999999939,37.750706903,2469.810290144
1026.799999999939,37.750365092,2471.697816944
1026.830555555600,37.750156207,2472.851297134
1026.849999999939,37.750022349,2473.585326644
1026.899999999939,37.749678140,2475.472819156
1026.913888888900,37.749582527,2475.997119580
1026.949999999939,37.749326403,2477.360294322
1026.997222222200,37.748991472,2479.142893496
1026.999999999939,37.748971478,2479.247751776
1027.049999999939,37.748611578,2481.135191352
1027.080555555600,37.748391640,2482.288617794
1027.099999999939,37.748245936,2483.022612878
1027.149999999939,37.747871268,2484.910015808
1027.163888888900,37.747767194,2485.434291078
1027.199999999939,37.747481624,2486.797399734
1027.247222222200,37.747108185,2488.579910884
1027.249999999939,37.747085660,2488.684763930
1027.299999999939,37.746680201,2490.572108076
1027.330555555600,37.746432421,2491.725475078
1027.349999999939,37.746282000,2492.459432020
1027.399999999939,37.745895205,2494.346736450
1027.413888888900,37.745787761,2494.870984251
1027.449999999939,37.745491911,2496.234021243
1027.497222222200,37.745105031,2498.016438117
1027.499999999939,37.745079295,2498.121285593
1027.549999999939,37.744616049,2500.008527977
1027.580555555600,37.744332955,2501.161831369
1027.599999999938,37.744171240,2501.895747377
1027.649999999938,37.743755400,2503.782945543
1027.663888888900,37.743639889,2504.307163569
1027.699999999938,37.743362457,2505.670123331
1027.747222222200,37.742999662,2507.452440216
1027.749999999938,37.742979220,2507.557281852
1027.799999999938,37.742611271,2509.444421614
1027.830555555600,37.742386413,2510.597664638
1027.849999999938,37.742245938,2511.331543004
1027.899999999938,37.741884714,2513.218646270
1027.913888888900,37.741784375,2513.742838420
1027.949999999938,37.741518743,2515.105731390
1027.997222222200,37.741171378,2516.887961575
1027.999999999938,37.741150658,2516.992798132
1028.049999999938,37.740777712,2518.879846341
1028.080555555600,37.740549800,2520.033033293
1028.099999999938,37.740408883,2520.766875943
1028.149999999938,37.740046526,2522.653887328
1028.163888888900,37.739945872,2523.178053945
1028.199999999938,37.739678797,2524.540880498
1028.247222222200,37.739329546,2526.323023753
1028.249999999938,37.739308358,2526.427855193
1028.299999999938,37.738926989,2528.314811076
1028.330555555600,37.738693929,2529.467941400
1028.349999999938,37.738542802,2530.201747864
1028.399999999938,37.738154188,2532.088665289
1028.413888888900,37.738046240,2532.612805572
1028.449999999938,37.737756960,2533.975563127
1028.497222222200,37.737378670,2535.757614942
1028.499999999938,37.737355141,2535.862440960
1028.549999999938,37.736931607,2537.749298129
1028.580555555600,37.736672781,2538.902367089
1028.599999999938,37.736495988,2539.636134003
1028.649999999938,37.736041375,2541.522947437
1028.663888888900,37.735915094,2542.047058249
1028.699999999938,37.735598580,2543.409738354
1028.747222222200,37.735184677,2545.191687405
1028.749999999938,37.735161048,2545.296507328
1028.799999999937,37.734735726,2547.183254747
1028.830555555600,37.734475807,2548.336256594
1028.849999999937,37.734283830,2549.069980642
1028.899999999937,37.733790173,2550.956682492
1028.913888888900,37.733653046,2551.480761962
1028.949999999937,37.733308472,2552.843359875
1028.997222222200,37.732857875,2554.625199915
1028.999999999937,37.732834217,2554.730013375
1029.049999999937,37.732408380,2556.616644440
1029.080555555600,37.732148147,2557.769575169
1029.099999999937,37.731990423,2558.503254290
1029.149999999937,37.731584846,2560.389843672
1029.163888888900,37.731472186,2560.913892682
1029.199999999937,37.731188260,2562.276412937
1029.247222222200,37.730816973,2564.058154729
1029.249999999937,37.730795136,2564.162962522
1029.299999999937,37.730402075,2566.049492452
1029.330555555600,37.730161872,2567.202362183
1029.349999999937,37.730005989,2567.936002700
1029.399999999937,37.729605149,2569.822492978
1029.413888888900,37.729493804,2570.346514501
1029.449999999937,37.729207363,2571.708963270
1029.497222222200,37.728832786,2573.490611441
1029.499999999937,37.728811374,2573.595413723
1029.549999999937,37.728425956,2575.481844657
1029.580555555600,37.728190423,2576.634654078
1029.599999999937,37.728035384,2577.368256269
1029.649999999937,37.727636712,2579.254648071
1029.663888888900,37.727525970,2579.778642260
1029.699999999937,37.727225996,2581.141019723
1029.747222222200,37.726833722,2582.922573912
1029.749999999937,37.726810438,2583.027370639
1029.799999999936,37.726391331,2584.913700683
1029.830555555600,37.726135210,2586.066447620
1029.849999999936,37.725966547,2586.800009716
1029.899999999936,37.725532841,2588.686297201
1029.913888888900,37.725412367,2589.210262101
1029.949999999936,37.725076180,2590.572562586
1029.997222222200,37.724636552,2592.354014138
1029.999999999936,37.724599081,2592.458804742
1030.000000000000,37.724599081,2592.458804744
1030.049999999936,37.724151593,2594.345023509
1030.099999999936,37.723704105,2596.231219901
1030.149999999936,37.723256616,2598.117393919
1030.199999999936,37.722809128,2600.003545563
1030.249999999936,37.722361639,2601.889674832
1030.299999999936,37.721914151,2603.775781727
1030.349999999936,37.721466662,2605.661866247
1030.399999999936,37.721019174,2607.547928393
1030.449999999936,37.720571686,2609.433968164
1030.499999999936,37.720124197,2611.319985561
1030.549999999936,37.719676709,2613.205980584
1030.599999999936,37.719229220,2615.091953232
