method,time_h,time_days,cumulative_injection_m3
Flood MAR,22.650000000000,0.943750000000,995.849494693
Flood MAR,22.700000000000,0.945833333333,997.755440143
Flood MAR,22.750000000000,0.947916666667,999.661260190
Flood MAR,22.800000000000,0.950000000000,1001.566954833
Flood MAR,22.850000000000,0.952083333333,1003.472524072
Flood MAR,22.900000000000,0.954166666667,1005.377967907
Flood MAR,22.950000000000,0.956250000000,1007.283286338
Flood MAR,23.000000000000,0.958333333333,1009.188479365
Flood MAR,23.004833333333,0.958534722222,1009.372641377
Flood MAR,23.050000000000,0.960416666667,1011.093571956
Flood MAR,23.100000000000,0.962500000000,1012.998600053
Flood MAR,23.150000000000,0.964583333333,1014.903563941
Flood MAR,23.200000000000,0.966666666667,1016.808463620
Flood MAR,23.250000000000,0.968750000000,1018.713299092
Flood MAR,23.300000000000,0.970833333333,1020.618070354
Flood MAR,23.350000000000,0.972916666667,1022.522777409
Flood MAR,23.400000000000,0.975000000000,1024.427420254
Flood MAR,23.450000000000,0.977083333333,1026.331998891
Flood MAR,23.500000000000,0.979166666667,1028.236513320
Flood MAR,23.550000000000,0.981250000000,1030.140963540
Flood MAR,23.600000000000,0.983333333333,1032.045349552
Flood MAR,23.650000000000,0.985416666667,1033.949671355
Flood MAR,23.700000000000,0.987500000000,1035.853928950
Flood MAR,23.750000000000,0.989583333333,1037.758122336
Flood MAR,23.800000000000,0.991666666667,1039.662251514
Flood MAR,23.850000000000,0.993750000000,1041.566316483
Flood MAR,23.900000000000,0.995833333333,1043.470317244
Flood MAR,23.950000000000,0.997916666667,1045.374253796
Flood MAR,24.000000000000,1.000000000000,1047.278126140
Flood MAR,24.004833333333,1.000201388889,1047.462163729
Flood MAR,24.050000000000,1.002083333333,1049.181929252
Flood MAR,24.100000000000,1.004166666667,1051.085655902
Flood MAR,24.150000000000,1.006250000000,1052.989306033
Flood MAR,24.200000000000,1.008333333333,1054.892879644
Flood MAR,24.250000000000,1.010416666667,1056.796376736
Flood MAR,24.300000000000,1.012500000000,1058.699797309
Flood MAR,24.350000000000,1.014583333333,1060.603141362
Flood MAR,24.400000000000,1.016666666667,1062.506408896
Flood MAR,24.450000000000,1.018750000000,1064.409599910
Flood MAR,24.500000000000,1.020833333333,1066.312714405
Flood MAR,24.550000000000,1.022916666667,1068.215752380
Flood MAR,24.600000000000,1.025000000000,1070.118713836
Flood MAR,24.650000000000,1.027083333333,1072.021598772
Flood MAR,24.700000000000,1.029166666667,1073.924407189
Flood MAR,24.750000000000,1.031250000000,1075.827139087
Flood MAR,24.800000000000,1.033333333333,1077.729794465
Flood MAR,24.850000000000,1.035416666667,1079.632373324
Flood MAR,24.900000000000,1.037500000000,1081.534875663
Flood MAR,24.950000000000,1.039583333333,1083.437301483
Flood MAR,25.000000000000,1.041666666667,1085.339650783
Flood MAR,25.004833333333,1.041868055556,1085.523540493
Flood MAR,25.050000000000,1.043750000000,1087.241925109
Flood MAR,25.100000000000,1.045833333333,1089.144126684
Flood MAR,25.150000000000,1.047916666667,1091.046255525
Flood MAR,25.200000000000,1.050000000000,1092.948311632
Flood MAR,25.250000000000,1.052083333333,1094.850295007
Flood MAR,25.300000000000,1.054166666667,1096.752205648
Flood MAR,25.350000000000,1.056250000000,1098.654043556
Flood MAR,25.400000000000,1.058333333333,1100.555808730
Flood MAR,25.450000000000,1.060416666667,1102.457501171
Flood MAR,25.500000000000,1.062500000000,1104.359120878
Flood MAR,25.550000000000,1.064583333333,1106.260667852
Flood MAR,25.600000000000,1.066666666667,1108.162142093
Flood MAR,25.650000000000,1.068750000000,1110.063543600
Flood MAR,25.700000000000,1.070833333333,1111.964872374
