time_h,segment,source_vtu,packaged_vtu
678.025,C2,drywell_formal_C2_480_960h_6h-00033.vtu,C2_drywell_formal_C2_480_960h_6h-00033.vtu
684.025,C2,drywell_formal_C2_480_960h_6h-00034.vtu,C2_drywell_formal_C2_480_960h_6h-00034.vtu
690.025,C2,drywell_formal_C2_480_960h_6h-00035.vtu,C2_drywell_formal_C2_480_960h_6h-00035.vtu
696.025,C2,drywell_formal_C2_480_960h_6h-00036.vtu,C2_drywell_formal_C2_480_960h_6h-00036.vtu
702.025,C2,drywell_formal_C2_480_960h_6h-00037.vtu,C2_drywell_formal_C2_480_960h_6h-00037.vtu
708.025,C2,drywell_formal_C2_480_960h_6h-00038.vtu,C2_drywell_formal_C2_480_960h_6h-00038.vtu
714.025,C2,drywell_formal_C2_480_960h_6h-00039.vtu,C2_drywell_formal_C2_480_960h_6h-00039.vtu
720.025,C2,drywell_formal_C2_480_960h_6h-00040.vtu,C2_drywell_formal_C2_480_960h_6h-00040.vtu
726.025,C2,drywell_formal_C2_480_960h_6h-00041.vtu,C2_drywell_formal_C2_480_960h_6h-00041.vtu
732.025,C2,drywell_formal_C2_480_960h_6h-00042.vtu,C2_drywell_formal_C2_480_960h_6h-00042.vtu
738.0527777777778,C2,drywell_formal_C2_480_960h_6h-00043.vtu,C2_drywell_formal_C2_480_960h_6h-00043.vtu
744.0083333333333,C2,drywell_formal_C2_480_960h_6h-00044.vtu,C2_drywell_formal_C2_480_960h_6h-00044.vtu
750.0083333333333,C2,drywell_formal_C2_480_960h_6h-00045.vtu,C2_drywell_formal_C2_480_960h_6h-00045.vtu
756.0666666666667,C2,drywell_formal_C2_480_960h_6h-00046.vtu,C2_drywell_formal_C2_480_960h_6h-00046.vtu
762.0527777777778,C2,drywell_formal_C2_480_960h_6h-00047.vtu,C2_drywell_formal_C2_480_960h_6h-00047.vtu
768.0083333333333,C2,drywell_formal_C2_480_960h_6h-00048.vtu,C2_drywell_formal_C2_480_960h_6h-00048.vtu
774.0805555555555,C2,drywell_formal_C2_480_960h_6h-00049.vtu,C2_drywell_formal_C2_480_960h_6h-00049.vtu
780.0416666666666,C2,drywell_formal_C2_480_960h_6h-00050.vtu,C2_drywell_formal_C2_480_960h_6h-00050.vtu
786.0138888888889,C2,drywell_formal_C2_480_960h_6h-00051.vtu,C2_drywell_formal_C2_480_960h_6h-00051.vtu
792.0138888888889,C2,drywell_formal_C2_480_960h_6h-00052.vtu,C2_drywell_formal_C2_480_960h_6h-00052.vtu
798.0,C2,drywell_formal_C2_480_960h_6h-00053.vtu,C2_drywell_formal_C2_480_960h_6h-00053.vtu
804.0,C2,drywell_formal_C2_480_960h_6h-00054.vtu,C2_drywell_formal_C2_480_960h_6h-00054.vtu
810.0,C2,drywell_formal_C2_480_960h_6h-00055.vtu,C2_drywell_formal_C2_480_960h_6h-00055.vtu
816.0,C2,drywell_formal_C2_480_960h_6h-00056.vtu,C2_drywell_formal_C2_480_960h_6h-00056.vtu
822.0,C2,drywell_formal_C2_480_960h_6h-00057.vtu,C2_drywell_formal_C2_480_960h_6h-00057.vtu
828.0,C2,drywell_formal_C2_480_960h_6h-00058.vtu,C2_drywell_formal_C2_480_960h_6h-00058.vtu
834.0472222222222,C2,drywell_formal_C2_480_960h_6h-00059.vtu,C2_drywell_formal_C2_480_960h_6h-00059.vtu
840.0833333333334,C2,drywell_formal_C2_480_960h_6h-00060.vtu,C2_drywell_formal_C2_480_960h_6h-00060.vtu
846.0833333333334,C2,drywell_formal_C2_480_960h_6h-00061.vtu,C2_drywell_formal_C2_480_960h_6h-00061.vtu
852.025,C2,drywell_formal_C2_480_960h_6h-00062.vtu,C2_drywell_formal_C2_480_960h_6h-00062.vtu
858.025,C2,drywell_formal_C2_480_960h_6h-00063.vtu,C2_drywell_formal_C2_480_960h_6h-00063.vtu
864.025,C2,drywell_formal_C2_480_960h_6h-00064.vtu,C2_drywell_formal_C2_480_960h_6h-00064.vtu
870.025,C2,drywell_formal_C2_480_960h_6h-00065.vtu,C2_drywell_formal_C2_480_960h_6h-00065.vtu
876.0194444444444,C2,drywell_formal_C2_480_960h_6h-00066.vtu,C2_drywell_formal_C2_480_960h_6h-00066.vtu
882.0638888888889,C2,drywell_formal_C2_480_960h_6h-00067.vtu,C2_drywell_formal_C2_480_960h_6h-00067.vtu
888.0333333333333,C2,drywell_formal_C2_480_960h_6h-00068.vtu,C2_drywell_formal_C2_480_960h_6h-00068.vtu
894.0,C2,drywell_formal_C2_480_960h_6h-00069.vtu,C2_drywell_formal_C2_480_960h_6h-00069.vtu
900.0,C2,drywell_formal_C2_480_960h_6h-00070.vtu,C2_drywell_formal_C2_480_960h_6h-00070.vtu
