elevation_m,O2_0h_g_cm3,O2_241.22028h_g_cm3,O2_481.21944h_g_cm3,O2_721.21944h_g_cm3,O2_961.21944h_g_cm3,O2_1201.2194h_g_cm3,O2_1441.2194h_g_cm3,O2_1681.2194h_g_cm3,O2_1921.2194h_g_cm3,O2_2161.2194h_g_cm3,O2_2401.2194h_g_cm3,O2_2641.2194h_g_cm3,O2_2881.2222h_g_cm3,O2_3121.2222h_g_cm3,O2_3361.2222h_g_cm3,O2_3601.2222h_g_cm3,O2_3841.2222h_g_cm3,O2_4081.2222h_g_cm3,O2_4321.2222h_g_cm3,O2_4561.2222h_g_cm3,O2_4801.2222h_g_cm3,O2_5041.2222h_g_cm3,O2_5281.2222h_g_cm3,O2_5521.2222h_g_cm3,O2_5760h_g_cm3
5.000000000000000000e-01,6.978820692893350497e-06,4.463304974438396031e-06,2.639834859140671465e-06,1.530639658327808610e-06,7.108956449113438386e-07,2.710813051112469633e-07,1.082934202463297448e-07,4.392609268169512881e-08,1.805633154967439722e-08,7.520661991918981198e-09,3.171052111933002613e-09,1.351640949350259545e-09,5.815909562303952502e-10,2.523166735287743790e-10,1.102621305241958224e-10,4.850367413147367160e-11,2.147447341524079816e-11,9.578174486429927914e-12,4.320847634164185326e-12,2.048339607656625185e-12,1.139773845250261573e-12,7.500725737627530058e-13,5.827242836985373237e-13,5.322870391197076416e-13,5.508759124465722654e-13
5.500000000000000444e-01,6.978820692893350497e-06,4.462925702318837952e-06,2.639102578123472094e-06,1.530014909950394624e-06,7.098886052441701987e-07,2.709790657256443958e-07,1.082605609172213641e-07,4.391192980838621234e-08,1.805028876858005951e-08,7.518158274340621544e-09,3.170013226686102720e-09,1.351207586892072073e-09,5.814067450436727972e-10,2.522376075857831707e-10,1.102278186714022736e-10,4.848875184806179992e-11,2.146803382449900920e-11,9.575539745606008172e-12,4.319959271848062292e-12,2.048313639747171705e-12,1.140226622343648757e-12,7.509212862962928020e-13,5.839443851222481672e-13,5.338637415495280654e-13,5.528319280376386206e-13
6.000000000000000888e-01,6.978820692893350497e-06,4.462567851268527877e-06,2.638405716328731366e-06,1.529418160551326270e-06,7.089218874301793280e-07,2.708809875545211647e-07,1.082290561564720263e-07,4.389833683521319306e-08,1.804447484099438803e-08,7.515751578556457160e-09,3.169015415587687660e-09,1.350790262057167749e-09,5.812293070177084502e-10,2.521615222530222689e-10,1.101947826560958843e-10,4.847438176461954439e-11,2.146184177759619397e-11,9.573005681987068363e-12,4.319104437601507118e-12,2.048289577640211181e-12,1.140661220627972222e-12,7.517352976338564199e-13,5.851141953235927892e-13,5.353741858994334480e-13,5.547045171324475372e-13
6.500000000000000222e-01,6.978820692893349650e-06,4.462169191870234844e-06,2.637658749545887255e-06,1.528772838810411500e-06,7.079105147066600557e-07,2.707767016286639795e-07,1.081954481796407005e-07,4.388384033173380296e-08,1.803827892787002137e-08,7.513185720822166394e-09,3.167951417201963684e-09,1.350345162503533616e-09,5.810403065363377568e-10,2.520802782768798295e-10,1.101595683859363079e-10,4.845905497641811840e-11,2.145524030652808187e-11,9.570305572551117369e-12,4.318195803819924023e-12,2.048267033989187008e-12,1.141129130734248959e-12,7.526082403554019820e-13,5.863669311570911182e-13,5.369908853063022978e-13,5.567079487270327376e-13
7.000000000000000666e-01,6.978820692893350497e-06,4.461496804233411179e-06,2.636568190185709329e-06,1.527818272238998615e-06,7.065365761189782111e-07,2.706291933001290977e-07,1.081470597626421923e-07,4.386297749928160839e-08,1.802939617875678698e-08,7.509489845389223550e-09,3.166420409438043143e-09,1.349704360758386469e-09,5.807682935993468620e-10,2.519633819101593214e-10,1.101088884187772710e-10,4.843703718944852143e-11,2.144578366075168231e-11,9.566438421431405995e-12,4.316906416773517946e-12,2.048252091925661316e-12,1.141814599383535357e-12,7.538725602721586191e-13,5.881708606434340097e-13,5.393144008023461773e-13,5.595827248865578966e-13
7.500000000000000000e-01,6.978820692893350497e-06,4.460835513852555704e-06,2.635501137651240226e-06,1.526888827226833692e-06,7.051812689663798492e-07,2.704844616164857263e-07,1.080996575575475741e-07,4.384254066373194352e-08,1.802068534344604732e-08,7.505872008062893462e-09,3.164922430712492987e-09,1.349076898997918771e-09,5.805020933947028245e-10,2.518487920019576671e-10,1.100592899676479287e-10,4.841547893065408907e-11,2.143650145456252209e-11,9.562648350259049005e-12,4.315637105610569315e-12,2.048231182772574272e-12,1.142480210700156685e-12,7.551042278625163669e-13,5.899299150679784166e-13,5.415814285141391190e-13,5.623894274876200410e-13
8.000000000000000444e-01,6.978820692893351344e-06,4.460174223471699381e-06,2.634434085116770699e-06,1.525959382214668558e-06,7.038259618137814872e-07,2.703397299328423020e-07,1.080522553524529692e-07,4.382210382818227864e-08,1.801197450813530435e-08,7.502254170736565029e-09,3.163424451986942831e-09,1.348449437237451072e-09,5.802358931900587871e-10,2.517342020937559612e-10,1.100096915165186123e-10,4.839392067185964377e-11,2.142721924837336510e-11,9.558858279086693630e-12,4.314367794447621492e-12,2.048210273619487631e-12,1.143145822016777810e-12,7.563358954528743167e-13,5.916889694925227224e-13,5.438484562259320607e-13,5.651961300886822864e-13
8.500000000000000888e-01,6.978820692893350497e-06,4.459512933090842212e-06,2.633367032582300749e-06,1.525029937202503000e-06,7.024706546611831253e-07,2.701949982491989306e-07,1.080048531473583114e-07,4.380166699263261377e-08,1.800326367282456469e-08,7.498636333410234941e-09,3.161926473261392262e-09,1.347821975476982961e-09,5.799696929854147496e-10,2.516196121855542552e-10,1.099600930653892700e-10,4.837236241306520494e-11,2.141793704218420165e-11,9.555068207914336639e-12,4.313098483284672861e-12,2.048189364466400183e-12,1.143811433333398936e-12,7.575675630432321655e-13,5.934480239170670283e-13,5.461154839377250024e-13,5.680028326897445317e-13
9.000000000000000222e-01,6.978820692893350497e-06,4.458851642709985889e-06,2.632299980047831222e-06,1.524100492190338289e-06,7.011153475085848692e-07,2.700502665655555062e-07,1.079574509422636932e-07,4.378123015708294889e-08,1.799455283751382502e-08,7.495018496083904853e-09,3.160428494535842519e-09,1.347194513716515056e-09,5.797034927807707122e-10,2.515050222773525492e-10,1.099104946142599665e-10,4.835080415427076611e-11,2.140865483599504790e-11,9.551278136741981265e-12,4.311829172121725037e-12,2.048168455313313542e-12,1.144477044650020264e-12,7.587992306335901152e-13,5.952070783416114352e-13,5.483825116495179441e-13,5.708095352908067770e-13
9.500000000000000666e-01,6.978820692893349650e-06,4.458032779543107288e-06,2.631100095749632333e-06,1.523051567285007147e-06,6.997129100011200734e-07,2.698951930445868956e-07,1.079058064360480196e-07,4.375893284332166556e-08,1.798509803258051687e-08,7.491103912932666867e-09,3.158810472818493858e-09,1.346517137346994889e-09,5.794163544674586888e-10,2.513816207385335728e-10,1.098569868664675567e-10,4.832752541729932811e-11,2.139867508320750277e-11,9.547185303044637717e-12,4.310460091022056129e-12,2.048152497386261272e-12,1.145208520730099212e-12,7.601487695289646700e-13,5.971300899377140396e-13,5.508625161266051463e-13,5.738827657944459647e-13
