time_h,reservoir_head_cm,reservoir_storage_m3,reservoir_net_flux_m3_s
123.148524392336,589.635167392044,6.89275625136874,-1.0474237820204e-05
123.248524392336,589.314007758784,6.88900193820653,-1.04286476728104e-05
123.348524392336,588.998344458368,6.88531187644022,-1.02501715730829e-05
123.448524392336,588.685589900599,6.88165581748644,-1.01557193160562e-05
123.548524392336,588.375881140376,6.87803536349864,-1.00568166327867e-05
123.648524392336,588.068568237753,6.87444291676577,-9.97901870242445e-06
123.748524392336,587.764160106624,6.8708844264232,-9.88469539602022e-06
123.848524392336,587.462524011329,6.8673583408088,-9.7946822622236e-06
123.948524392336,587.206958339734,6.86437081228618,-8.29869034059747e-06
124.048524392336,586.933567522597,6.86117491019604,-8.87750580593734e-06
124.148524392336,586.652027880164,6.85788374942799,-9.14211324460314e-06
124.248524392336,586.364178238729,6.85451882561546,-9.34701059034096e-06
124.348524392336,586.074312499475,6.85113033388907,-9.41247701774558e-06
124.448524392336,585.781771524188,6.84771056901123,-9.49934688290869e-06
124.548524392336,585.487383264237,6.84426920962271,-9.55933163477446e-06
124.648524392336,585.192637104105,6.84082366642893,-9.57095331605926e-06
124.748524392336,584.897281200072,6.83737099541049,-9.59075282897341e-06
124.848524392336,584.601622455338,6.83391478422478,-9.60058662699413e-06
124.948524392336,584.309232347806,6.8304967829708,-9.49444792770329e-06
125.048524392336,584.017609311735,6.82708774867963,-9.46953969769136e-06
125.148524392336,583.727850429991,6.82370050610323,-9.40900715666956e-06
125.248524392336,583.439577179233,6.82033063035439,-9.36076596901366e-06
125.348524392336,583.152699962883,6.81697707406106,-9.31543414812043e-06
125.448524392336,582.867121953482,6.81363870532322,-9.27324649401027e-06
125.548524392336,582.583863940222,6.81032745703001,-9.19791192559229e-06
125.648524392336,582.302135459755,6.80703408877058,-9.14824516507489e-06
125.748524392336,582.035204914589,6.80391370639582,-8.66772881878502e-06
125.848524392336,581.762759390862,6.80072885465921,-8.84681037945273e-06
125.948524392336,581.487449217295,6.7975105155491,-8.93983086143492e-06
126.048524392336,581.211461676761,6.79428425810973,-8.96182622047816e-06
126.148524392336,580.937761050965,6.7910847343978,-8.88756586645538e-06
126.248524392336,580.665274730415,6.78789940575179,-8.84813512779806e-06
126.348524392336,580.393333961486,6.78472045453128,-8.83042005697419e-06
126.448524392336,580.121943112865,6.78154793180562,-8.81256312683871e-06
126.548524392336,579.850574035169,6.77837566357918,-8.81185618457295e-06
126.648524392336,579.579125528358,6.77520246683698,-8.81443539497928e-06
126.748524392336,579.309277465044,6.77204797906525,-8.76246603258711e-06
126.848524392336,579.039442185105,6.76889364072945,-8.76205093279229e-06
126.948524392336,578.77139814281,6.76576024172216,-8.70388613135888e-06
127.048524392336,578.504793235317,6.76264366600824,-8.65715476088713e-06
127.148524392336,578.239479148142,6.7595421798112,-8.61523943621221e-06
127.248524392336,577.977529268877,6.75648002075472,-8.50599737910664e-06
127.348524392336,577.717809624792,6.75344393284923,-8.43357751524374e-06
127.448524392336,577.459562450413,6.75042505791768,-8.38576369876624e-06
127.548524392336,577.220890573287,6.74763501559311,-7.75011756826496e-06
127.648524392336,576.975401480168,6.74476528092527,-7.97148518843383e-06
127.748524392336,576.72674888671,6.74185856536155,-8.07420989921899e-06
127.848524392336,576.481761354755,6.73899469387664,-7.95519856919059e-06
127.948524392336,576.238052146622,6.73614576582626,-7.91368902884418e-06
128.048524392336,575.995952277452,6.73331565073313,-7.8614308142429e-06
128.148524392336,575.756350775407,6.73051474121757,-7.78030420987855e-06
128.248524392336,575.518523274184,6.72773456953437,-7.72269912002083e-06
128.348524392336,575.283261390777,6.72498438958032,-7.6393887612378e-06
128.448524392336,575.049983682762,6.72225740437125,-7.57495891407026e-06
128.548524392336,574.817852516773,6.71954382208513,-7.53772857257507e-06
128.648524392336,574.587639811258,6.71685266634539,-7.47543261038435e-06
128.748524392336,574.36071208614,6.71419991158716,-7.36876321730826e-06
128.848524392336,574.136027396898,6.71157337761835,-7.29592769114425e-06
128.948524392336,573.912923584695,6.70896532389071,-7.24459368788703e-06
129.048524392336,573.691343609493,6.70637508361382,-7.19511188024041e-06
129.148524392336,573.470937602232,6.70379856686516,-7.15699096851059e-06
129.248524392336,573.25108002831,6.70122846122888,-7.13918232300424e-06
129.348524392336,573.031926372517,6.69866658430138,-7.11632479859623e-06
129.448524392336,572.813294587149,6.69611080796937,-7.09937870003451e-06
129.548524392336,572.595048504961,6.69355954045595,-7.0868542039409e-06
129.648524392336,572.377200779159,6.6910129296754,-7.07391883485622e-06
