time_h,time_days,drywell_cumulative_injection_m3,floodmar_cumulative_injection_m3
142.0,5.916666666666667,2077.5,5268.3
143.0,5.958333333333333,2077.5,5268.3
144.0,6.0,2077.5,5268.3
145.0,6.041666666666667,2077.5,5268.3
146.0,6.083333333333333,2077.5,5268.3
147.0,6.125,2077.5,5268.3
148.0,6.166666666666667,2077.5,5268.3
149.0,6.208333333333333,2077.5,5268.3
150.0,6.25,2077.5,5268.3
151.0,6.291666666666667,2077.5,5268.3
152.0,6.333333333333333,2077.5,5268.3
153.0,6.375,2077.5,5268.3
154.0,6.416666666666667,2077.5,5268.3
155.0,6.458333333333333,2077.5,5268.3
156.0,6.5,2077.5,5268.3
157.0,6.541666666666667,2077.5,5268.3
158.0,6.583333333333333,2077.5,5268.3
159.0,6.625,2077.5,5268.3
160.0,6.666666666666667,2077.5,5268.3
161.0,6.708333333333333,2077.5,5268.3
162.0,6.75,2077.5,5268.3
163.0,6.791666666666667,2077.5,5268.3
164.0,6.833333333333333,2077.5,5268.3
165.0,6.875,2077.5,5268.3
166.0,6.916666666666667,2077.5,5268.3
167.0,6.958333333333333,2077.5,5268.3
168.0,7.0,2077.5,5268.3
169.0,7.041666666666667,2077.5,5268.3
170.0,7.083333333333333,2077.5,5268.3
171.0,7.125,2077.5,5268.3
172.0,7.166666666666667,2077.5,5268.3
173.0,7.208333333333333,2077.5,5268.3
174.0,7.25,2077.5,5268.3
175.0,7.291666666666667,2077.5,5268.3
176.0,7.333333333333333,2077.5,5268.3
177.0,7.375,2077.5,5268.3
178.0,7.416666666666667,2077.5,5268.3
179.0,7.458333333333333,2077.5,5268.3
180.0,7.5,2077.5,5268.3
181.0,7.541666666666667,2077.5,5268.3
182.0,7.583333333333333,2077.5,5268.3
183.0,7.625,2077.5,5268.3
184.0,7.666666666666667,2077.5,5268.3
185.0,7.708333333333333,2077.5,5268.3
186.0,7.75,2077.5,5268.3
187.0,7.791666666666667,2077.5,5268.3
188.0,7.833333333333333,2077.5,5268.3
189.0,7.875,2077.5,5268.3
190.0,7.916666666666667,2077.5,5268.3
191.0,7.958333333333333,2077.5,5268.3
192.0,8.0,2077.5,5268.3
193.0,8.041666666666666,2077.5,5268.3
194.0,8.083333333333334,2077.5,5268.3
195.0,8.125,2077.5,5268.3
196.0,8.166666666666666,2077.5,5268.3
197.0,8.208333333333334,2077.5,5268.3
198.0,8.25,2077.5,5268.3
199.0,8.291666666666666,2077.5,5268.3
200.0,8.333333333333334,2077.5,5268.3
201.0,8.375,2077.5,5268.3
202.0,8.416666666666666,2077.5,5268.3
203.0,8.458333333333334,2077.5,5268.3
204.0,8.5,2077.5,5268.3
205.0,8.541666666666666,2077.5,5268.3
206.0,8.583333333333334,2077.5,5268.3
207.0,8.625,2077.5,5268.3
208.0,8.666666666666666,2077.5,5268.3
209.0,8.708333333333334,2077.5,5268.3
210.0,8.75,2077.5,5268.3
211.0,8.791666666666666,2077.5,5268.3
212.0,8.833333333333334,2077.5,5268.3
213.0,8.875,2077.5,5268.3
214.0,8.916666666666666,2077.5,5268.3
215.0,8.958333333333334,2077.5,5268.3
216.0,9.0,2077.5,5268.3
217.0,9.041666666666666,2077.5,5268.3
218.0,9.083333333333334,2077.5,5268.3
219.0,9.125,2077.5,5268.3
220.0,9.166666666666666,2077.5,5268.3
221.0,9.208333333333334,2077.5,5268.3
222.0,9.25,2077.5,5268.3
223.0,9.291666666666666,2077.5,5268.3
224.0,9.333333333333334,2077.5,5268.3
225.0,9.375,2077.5,5268.3
226.0,9.416666666666666,2077.5,5268.3
227.0,9.458333333333334,2077.5,5268.3
228.0,9.5,2077.5,5268.3
229.0,9.541666666666666,2077.5,5268.3
230.0,9.583333333333334,2077.5,5268.3
231.0,9.625,2077.5,5268.3
232.0,9.666666666666666,2077.5,5268.3
233.0,9.708333333333334,2077.5,5268.3
234.0,9.75,2077.5,5268.3
235.0,9.791666666666666,2077.5,5268.3
236.0,9.833333333333334,2077.5,5268.3
237.0,9.875,2077.5,5268.3
238.0,9.916666666666666,2077.5,5268.3
239.0,9.958333333333334,2077.5,5268.3
240.0,10.0,2077.5,5268.3
241.0,10.041666666666666,2077.5,5269.0458011043775
242.0,10.083333333333334,2077.5,5273.861350623442
243.0,10.125,2077.5,5288.634116831202
244.0,10.166666666666666,2077.927636214102,5318.752469210455
245.0,10.208333333333334,2234.1061068821405,5365.108338166934
246.0,10.25,2523.0571819753136,5422.73987292863
247.0,10.291666666666666,2555.917259125403,5485.319714342744
248.0,10.333333333333334,2585.7994920983906,5547.901548283572
249.0,10.375,2614.5083021976225,5610.482526636797
250.0,10.416666666666666,2642.0436894141358,5673.062649401898
251.0,10.458333333333334,2668.4056537389674,5735.641916578359
252.0,10.5,2693.5941951631557,5798.220328165664
253.0,10.541666666666666,2717.9476035706452,5860.798185769255
254.0,10.583333333333334,2741.935616886209,5923.375809436796
255.0,10.625,2765.561281141593,5985.953199238225
256.0,10.666666666666666,2788.8245963356335,6048.530355173542
257.0,10.708333333333334,2811.725562467167,6111.107277242741
258.0,10.75,2834.2641795350314,6173.683965445815
259.0,10.791666666666666,2856.510227415254,6236.26047687076
260.0,10.833333333333334,2878.560600089763,6298.836872096239
