absolute_time_h,cycle3_elapsed_h,gross_injection_rate_m3_h,cycle3_cumulative_injection_m3
485.400000000,5.400000000,25.972590251,569.892476361
485.500000000,5.500000000,25.893387473,572.485775247
485.600000000,5.600000000,25.814184696,575.071153856
485.700000000,5.700000000,25.734981919,577.648612186
485.800000000,5.800000000,25.655779142,580.218150239
485.900000000,5.900000000,25.576576364,582.779768015
486.000000000,6.000000000,25.497373587,585.333465512
486.100000000,6.100000000,25.423299933,587.879499188
486.200000000,6.200000000,25.350935987,590.418210984
486.300000000,6.300000000,25.278572041,592.949686386
486.400000000,6.400000000,25.206208096,595.473925392
486.500000000,6.500000000,25.133844150,597.990928005
486.600000000,6.600000000,25.061480204,600.500694222
486.700000000,6.700000000,24.989116257,603.003224045
486.800000000,6.800000000,24.916752311,605.498517474
486.900000000,6.900000000,24.844388365,607.986574508
487.000000000,7.000000000,24.772024419,610.467395147
487.100000000,7.100000000,24.706989143,612.941345825
487.200000000,7.200000000,24.644396758,615.408915120
487.300000000,7.300000000,24.581804372,617.870225177
487.400000000,7.400000000,24.519211987,620.325275995
487.500000000,7.500000000,24.456619601,622.774067574
487.600000000,7.600000000,24.394027216,625.216599915
487.700000000,7.700000000,24.331434830,627.652873017
487.800000000,7.800000000,24.268842444,630.082886881
487.900000000,7.900000000,24.206250059,632.506641506
488.000000000,8.000000000,24.143657673,634.924136893
488.100000000,8.100000000,24.090791227,637.335859338
488.200000000,8.200000000,24.041166761,639.742457237
488.300000000,8.300000000,23.991542295,642.144092690
488.400000000,8.400000000,23.941917830,644.540765696
488.500000000,8.500000000,23.892293364,646.932476256
488.600000000,8.600000000,23.842668898,649.319224369
488.700000000,8.700000000,23.793044432,651.701010035
488.800000000,8.800000000,23.743419966,654.077833255
488.900000000,8.900000000,23.693795500,656.449694029
489.000000000,9.000000000,23.644171034,658.816592355
489.100000000,9.100000000,23.600112426,661.178806528
489.200000000,9.200000000,23.557909104,663.536707605
489.300000000,9.300000000,23.515705782,665.890388349
489.400000000,9.400000000,23.473502459,668.239848761
489.500000000,9.500000000,23.431299137,670.585088841
489.600000000,9.600000000,23.389095815,672.926108589
489.700000000,9.700000000,23.346892493,675.262908004
489.800000000,9.800000000,23.304689171,677.595487087
489.900000000,9.900000000,23.262485848,679.923845838
490.000000000,10.000000000,23.220282526,682.247984257
490.100000000,10.100000000,23.183591154,684.568177941
490.200000000,10.200000000,23.148737099,686.884794353
490.300000000,10.300000000,23.113883044,689.197925361
490.400000000,10.400000000,23.079028989,691.507570962
490.500000000,10.500000000,23.044174934,693.813731158
490.600000000,10.600000000,23.009320879,696.116405949
490.700000000,10.700000000,22.974466824,698.415595334
490.800000000,10.800000000,22.939612769,700.711299314
490.900000000,10.900000000,22.904758714,703.003517888
491.000000000,11.000000000,22.869904659,705.292251057
491.100000000,11.100000000,22.839337212,707.577713151
491.200000000,11.200000000,22.810198635,709.860189943
491.300000000,11.300000000,22.781060057,712.139752877
491.400000000,11.400000000,22.751921480,714.416401954
491.500000000,11.500000000,22.722782902,716.690137173
491.600000000,11.600000000,22.693644324,718.960958535
491.700000000,11.700000000,22.664505747,721.228866038
491.800000000,11.800000000,22.635367169,723.493859684
491.900000000,11.900000000,22.606228591,725.755939472
492.000000000,12.000000000,22.577090014,728.015105402
492.100000000,12.100000000,22.549676438,730.271443725
492.200000000,12.200000000,22.522837862,732.525069440
492.300000000,12.300000000,22.495999287,734.776011297
492.400000000,12.400000000,22.469160712,737.024269297
492.500000000,12.500000000,22.442322136,739.269843440
492.600000000,12.600000000,22.415483561,741.512733724
492.700000000,12.700000000,22.388644986,743.752940152
492.800000000,12.800000000,22.361806410,745.990462722
492.900000000,12.900000000,22.334967835,748.225301434
493.000000000,13.000000000,22.308129260,750.457456289
